order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-08550,2022-01-01,2022,Q1,1,January,North America,Canada,Office Supplies,Binders,Consumer,9,23.81,214.29,116.37,97.92,45.7
ORD-00743,2022-01-01,2022,Q1,1,January,North America,United States,Clothing,Accessories,Consumer,12,107.26,1287.12,699.0,588.12,45.69
ORD-02331,2022-01-01,2022,Q1,1,January,North America,Mexico,Office Supplies,Labels,Corporate,6,36.83,220.98,82.32,138.66,62.75
ORD-00559,2022-01-01,2022,Q1,1,January,Asia Pacific,Australia,Office Supplies,Pens,Home Office,14,18.23,255.22,134.4,120.82,47.34
ORD-07250,2022-01-01,2022,Q1,1,January,North America,United States,Electronics,Monitors,Corporate,10,242.86,2428.6,1587.4,841.2,34.64
ORD-05741,2022-01-01,2022,Q1,1,January,Europe,United Kingdom,Electronics,Laptops,Home Office,13,757.62,9849.06,6021.6,3827.46,38.86
ORD-04765,2022-01-01,2022,Q1,1,January,Asia Pacific,South Korea,Furniture,Bookcases,Consumer,13,429.23,5579.99,3312.4,2267.59,40.64
ORD-02691,2022-01-01,2022,Q1,1,January,North America,Canada,Furniture,Storage,Corporate,3,423.26,1269.78,751.62,518.16,40.81
ORD-02480,2022-01-01,2022,Q1,1,January,Asia Pacific,Japan,Furniture,Tables,Corporate,9,214.18,1927.62,1201.95,725.67,37.65
ORD-04642,2022-01-01,2022,Q1,1,January,Asia Pacific,Australia,Electronics,Phones,Consumer,4,336.98,1347.92,789.6,558.32,41.42
ORD-08389,2022-01-01,2022,Q1,1,January,Latin America,Chile,Electronics,Tablets,Corporate,10,115.39,1153.9,757.4,396.5,34.36
ORD-04899,2022-01-01,2022,Q1,1,January,Europe,Spain,Furniture,Chairs,Consumer,2,506.11,1012.22,570.2,442.02,43.67
ORD-08305,2022-01-01,2022,Q1,1,January,Europe,Italy,Electronics,Laptops,Corporate,13,723.71,9408.23,5203.64,4204.59,44.69
ORD-00189,2022-01-02,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Pens,Corporate,12,25.89,310.68,137.64,173.04,55.7
ORD-05082,2022-01-02,2022,Q1,1,January,North America,Mexico,Electronics,Phones,Consumer,5,241.68,1208.4,753.85,454.55,37.62
ORD-00146,2022-01-02,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Paper,Corporate,9,28.05,252.45,127.08,125.37,49.66
ORD-01624,2022-01-02,2022,Q1,1,January,Europe,Italy,Clothing,Jackets,Home Office,14,264.24,3699.36,2202.9,1496.46,40.45
ORD-01364,2022-01-02,2022,Q1,1,January,North America,Canada,Furniture,Chairs,Consumer,9,38.02,342.18,182.61,159.57,46.63
ORD-01459,2022-01-02,2022,Q1,1,January,Asia Pacific,South Korea,Electronics,Laptops,Consumer,8,754.48,6035.84,3734.72,2301.12,38.12
ORD-04910,2022-01-03,2022,Q1,1,January,Europe,Italy,Electronics,Phones,Consumer,12,1437.02,17244.24,10936.2,6308.04,36.58
ORD-09438,2022-01-03,2022,Q1,1,January,Asia Pacific,Australia,Electronics,Laptops,Consumer,7,815.77,5710.39,3495.87,2214.52,38.78
ORD-01138,2022-01-03,2022,Q1,1,January,North America,Mexico,Electronics,Tablets,Corporate,2,1276.55,2553.1,1609.0,944.1,36.98
ORD-09763,2022-01-03,2022,Q1,1,January,North America,Canada,Clothing,Shoes,Corporate,3,265.7,797.1,340.08,457.02,57.34
ORD-07320,2022-01-03,2022,Q1,1,January,Europe,United Kingdom,Clothing,Shoes,Consumer,7,132.74,929.18,404.88,524.3,56.43
ORD-01178,2022-01-03,2022,Q1,1,January,Europe,Italy,Electronics,Phones,Consumer,7,1421.37,9949.59,5897.64,4051.95,40.72
ORD-02927,2022-01-03,2022,Q1,1,January,North America,United States,Electronics,Accessories,Home Office,9,774.52,6970.68,3920.85,3049.83,43.75
ORD-03502,2022-01-03,2022,Q1,1,January,North America,Canada,Electronics,Accessories,Corporate,14,428.66,6001.24,3328.22,2673.02,44.54
ORD-00990,2022-01-04,2022,Q1,1,January,Europe,France,Clothing,Pants,Home Office,13,99.68,1295.84,764.14,531.7,41.03
ORD-08020,2022-01-04,2022,Q1,1,January,Asia Pacific,South Korea,Furniture,Storage,Corporate,1,388.59,388.59,195.48,193.11,49.7
ORD-04312,2022-01-04,2022,Q1,1,January,North America,Mexico,Electronics,Accessories,Consumer,6,1138.84,6833.04,4087.86,2745.18,40.18
ORD-05516,2022-01-04,2022,Q1,1,January,Europe,United Kingdom,Clothing,Pants,Consumer,2,182.7,365.4,165.06,200.34,54.83
ORD-00723,2022-01-04,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Envelopes,Home Office,8,30.52,244.16,116.8,127.36,52.16
ORD-00773,2022-01-05,2022,Q1,1,January,North America,Canada,Office Supplies,Binders,Consumer,10,30.56,305.6,150.3,155.3,50.82
ORD-02912,2022-01-05,2022,Q1,1,January,Europe,United Kingdom,Electronics,Accessories,Consumer,10,433.2,4332.0,2748.6,1583.4,36.55
ORD-05425,2022-01-05,2022,Q1,1,January,Asia Pacific,Japan,Furniture,Desks,Consumer,3,771.87,2315.61,1206.48,1109.13,47.9
ORD-04011,2022-01-05,2022,Q1,1,January,North America,United States,Electronics,Laptops,Consumer,13,898.77,11684.01,7635.81,4048.2,34.65
ORD-00308,2022-01-05,2022,Q1,1,January,North America,United States,Electronics,Phones,Consumer,7,236.17,1653.19,1134.21,518.98,31.39
ORD-08953,2022-01-05,2022,Q1,1,January,Asia Pacific,South Korea,Furniture,Storage,Consumer,2,306.6,613.2,389.32,223.88,36.51
ORD-07644,2022-01-06,2022,Q1,1,January,Asia Pacific,Japan,Furniture,Tables,Consumer,8,769.78,6158.24,3872.0,2286.24,37.12
